year,month,tavg
1942,09,77
1942,10,80
1942,11,79
1942,12,77
1943,01,78
1943,02,78
1943,03,81
1943,04,82
1943,05,79
1943,06,75
1943,07,74
1943,08,75
1943,09,74
1943,10,73
1943,11,73
1943,12,70
1944,01,72
1944,02,73
1944,03,74
1944,04,79
1944,05,80
1944,06,75
1944,07,72
1944,08,74
1944,09,73
1944,10,73
1944,11,70
1944,12,68
1945,01,69
1945,02,75
1945,03,78
1945,04,80
1945,05,80
1945,06,75
1945,07,73
1945,08,72
1945,09,73
1945,10,74
1945,11,71
1945,12,70
1961,01,67
1961,02,72
1961,03,77
1961,04,80
1961,05,77
1961,06,72
1961,07,70
1961,08,71
1961,09,72
1961,10,71
1961,11,69
1961,12,68
1962,01,68
1962,02,71
1962,03,77
1962,04,77
1962,05,76
1962,06,75
1962,07,72
1962,08,71
1962,09,71
1962,10,72
1962,11,69
1962,12,67
1973,01,72
1973,02,75
1973,03,79
1973,04,84
1973,05,80
1973,06,75
1973,07,75
1973,08,72
1973,09,73
1973,10,74
1973,11,72
1973,12,70
1974,01,71
1974,02,75
1974,03,79
1974,04,81
1974,05,78
1974,06,75
1974,07,72
1974,08,72
1974,09,72
1974,10,71
1974,11,71
1974,12,68
1975,01,69
1975,02,74
1975,03,79
1975,04,83
1975,05,78
1975,06,72
1975,07,71
1975,08,71
1975,09,72
1975,10,71
1975,11,69
1975,12,66
1976,01,66
1976,02,72
1976,03,79
1976,04,79
1976,05,79
1976,06,75
1976,07,73
1976,08,73
1976,09,74
1976,10,73
1976,11,71
1976,12,69
1977,01,70
1977,02,73
1977,03,78
1977,04,80
1977,05,77
1977,06,74
1977,07,72
1977,08,73
1977,09,74
1977,10,72
1977,11,71
1977,12,68
1978,01,70
1978,02,73
1978,03,78
1978,04,80
1978,05,79
1978,06,72
1978,07,71
1978,08,71
1978,09,72
1978,10,74
1978,11,70
1978,12,68
1979,01,70
1979,02,73
1979,03,78
1979,04,81
1979,05,80
1979,06,75
1979,07,73
1979,08,72
1979,09,72
1979,10,73
1979,11,71
1979,12,69
1980,01,68
1980,02,73
1980,03,78
1980,04,81
1980,05,81
1980,06,74
1980,07,73
1980,08,72
1980,09,74
1980,10,74
1980,11,71
1980,12,70
1981,01,70
1981,02,74
1981,03,77
1981,04,81
1981,05,79
1981,06,74
1981,07,73
1981,08,72
1981,09,72
1981,10,73
1981,11,70
1981,12,67
1982,01,68
1982,02,74
1982,03,79
1982,04,81
1982,05,80
1982,06,74
1982,07,74
1982,08,73
1982,09,74
1982,10,74
1982,11,71
1982,12,68
1983,01,70
1983,02,77
1983,03,81
1983,04,83
1983,05,81
1983,06,76
1983,07,74
1983,08,72
1983,09,72
1983,10,73
1983,11,71
1983,12,69
1984,01,70
1984,02,72
1984,03,76
1984,04,80
1984,05,81
1984,06,74
1984,07,72
1984,08,73
1984,09,74
1984,10,72
1984,11,71
1984,12,69
1985,01,70
1985,02,75
1985,03,79
1985,04,81
1985,05,80
1985,06,73
1985,07,72
1985,08,73
1985,09,74
1985,10,72
1985,11,69
1985,12,69
1986,01,68
1986,02,72
1986,03,79
1986,04,82
1986,05,80
1986,06,74
1986,07,74
1986,08,73
1986,09,73
1986,10,74
1986,11,71
1986,12,70
1987,01,69
1987,02,72
1987,03,77
1987,04,82
1987,05,81
1987,06,75
1987,07,75
1987,08,73
1987,09,76
1987,10,74
1987,11,71
1987,12,69
1988,01,68
1988,02,75
1988,03,80
1988,04,80
1988,05,80
1988,06,76
1988,07,73
1988,08,72
1988,09,73
1988,10,74
1988,11,70
1988,12,69
1989,01,68
1989,02,73
1989,03,77
1989,04,81
